label;name;latex_short;latex_long;units;order;valid;age_shift
'covariance_xyz';['X Variance','Y Variance','Z Variance'];['Var.${{}}_{{X}}$','Var.${{}}_{{Y}}$','Var.${{}}_{{Z}}$'];['$X$ Variance','$Y$ Variance','$Z$ Variance'];['pc', 'pc', 'pc'];0;[True,False,False];[0.94,0.36,-0.15]
'covariance_xyz_matrix_det';['XYZ Covariance Matrix Determinant'];['Det.${{}}_{{XYZ}}$'];['Determinant${{}}_{{XYZ}}$'];['pc'];1;[False];[0.26]
'covariance_xyz_matrix_trace';['XYZ Covariance Matrix Trace'];['Trace${{}}_{{XYZ}}$'];['Trace${{}}_{{XYZ}}$'];['pc'];2;[False];[0.4]
'covariance_xyz_robust';['X Variance (robust)','Y Variance (robust)','Z Variance (robust)'];['Var.${{}}_{{X}}$ (robust)','Var.${{}}_{{Y}}$ (robust)','Var.${{}}_{{Z}}$ (robust)'];['$X$ Variance (robust)','$Y$ Variance (robust)','$Z$ Variance (robust)'];['pc', 'pc', 'pc'];3;[True,False,False];[0.97,0.28,-0.01]
'covariance_xyz_matrix_det_robust';['XYZ Covariance Matrix Determinant (robust)'];['Det.${{}}_{{XYZ}}$ (robust)'];['Determinant${{}}_{{XYZ}}$ (robust)'];['pc'];4;[False];[0.32]
'covariance_xyz_matrix_trace_robust';['XYZ Covariance Matrix Trace (robust)'];['Trace${{}}_{{XYZ}}$ (robust)'];['Trace${{}}_{{XYZ}}$ (robust)'];['pc'];5;[False];[0.44]
'covariance_xyz_sklearn';['X Variance (sklearn)','Y Variance (sklearn)','Z Variance (sklearn)'];['Var.${{}}_{{X}}$ (sklearn)','Var.${{}}_{{Y}}$ (sklearn)','Var.${{}}_{{Z}}$ (sklearn)'];['$X$ Variance (sklearn)','$Y$ Variance (sklearn)','$Z$ Variance (sklearn)'];['pc', 'pc', 'pc'];6;[False,False,False];[0.42,-0.9,0.16]
'covariance_xyz_matrix_det_sklearn';['XYZ Covariance Matrix Determinant (sklearn)'];['Det.${{}}_{{XYZ}}$ (sklearn)'];['Determinant${{}}_{{XYZ}}$ (sklearn)'];['pc'];7;[False];[0.22]
'covariance_xyz_matrix_trace_sklearn';['XYZ Covariance Matrix Trace (sklearn)'];['Trace${{}}_{{XYZ}}$ (sklearn)'];['Trace${{}}_{{XYZ}}$ (sklearn)'];['pc'];8;[False];[0.21]
'covariance_ξηζ';['ξ Variance','η Variance','ζ Variance'];['Var.${{}}_{{ξ^\\prime}}$','Var.${{}}_{{η^\\prime}}$','Var.${{}}_{{ζ^\\prime}}$'];['$ξ^\\prime$ Variance','$η^\\prime$ Variance','$ζ^\\prime$ Variance'];['pc', 'pc', 'pc'];9;[True,False,False];[0.6,0.7,-0.15]
'covariance_ξηζ_matrix_det';['ξηζ Covariance Matrix Determinant'];['Det.${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$'];['Determinant${{}}_{{ξ^\\prime η^\\prime ζ^\\prime}}$'];['pc'];10;[False];[0.26]
