spt,sptn,mass_ms,mass_ms_error,mass_prems, mass_prems_error  ,radius_ms,radius_ms_error,radius_prems,radius_prems_error,t_eff,conv_blueshift,conv_blueshift_error,grav_redshift_ms,grav_redshift_ms_error,grav_redshift_prems,grav_redshift_prems_error,total_shift_ms,total_shift_ms_error,total_shift_prems,total_shift_prems_error
,,m_sol,m_sol,m_sol,m_sol,r_sol,r_sol,r_sol,r_sol,K,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s
O3.0,3.0,60.000000,6.2700000,60.000013,6.5700013,12.500000,1.1250000,12.500000,1.1250000,0.0000000,0.0000000,0.0000000,3.08757,0.424748,3.08897,0.445255,3.0875750,0.42474828,3.0889709,0.44525549
O4.0,4.0,52.000000,5.4340000,52.000010,5.6940010,12.300000,1.1070000,12.300000,1.1070000,0.0000000,0.0000000,0.0000000,2.71965,0.376751,2.71298,0.386059,2.7196481,0.37675073,2.7129800,0.38605929
O5.0,5.0,44.000000,4.5980000,44.000007,4.8180007,11.900000,1.0710000,11.900000,1.0710000,0.0000000,0.0000000,0.0000000,2.64085,0.350185,2.53194,0.361635,2.6408477,0.35018510,2.5319409,0.36163542
O5.5,5.5,40.000000,4.1800001,40.000006,4.3800006,11.200000,1.0080000,11.200000,1.0080000,0.0000000,0.0000000,0.0000000,2.45781,0.320940,2.31980,0.329683,2.4578080,0.32093951,2.3197956,0.32968342
O6.0,6.0,36.000000,3.7620001,36.000005,3.9420005,10.664444,0.95980004,10.583293,0.95249643,0.0000000,0.0000000,0.0000000,2.31586,0.296978,2.15037,0.306233,2.3158638,0.29697842,2.1503665,0.30623349
O6.5,6.5,32.000000,3.3440001,32.000003,3.5040003,10.201111,0.91810004,10.116629,0.91049666,0.0000000,0.0000000,0.0000000,2.14118,0.276772,2.01031,0.286137,2.1411774,0.27677175,2.0103064,0.28613669
O7.0,7.0,28.000000,2.9260001,28.000002,3.0660002,9.7355556,0.87620003,9.6591204,0.86932087,0.0000000,0.0000000,0.0000000,1.99774,0.258482,1.88608,0.269199,1.9977440,0.25848153,1.8860770,0.26919901
O7.5,7.5,24.000000,2.5080001,24.000001,2.6280000,9.2800000,0.83520003,9.2162444,0.82946203,0.0000000,0.0000000,0.0000000,1.86964,0.242699,1.77401,0.252806,1.8696437,0.24269941,1.7740072,0.25280580
O8.0,8.0,22.900000,2.3930500,22.900000,2.5075499,8.8722222,0.79850003,8.8185233,0.79366713,0.0000000,0.0000000,0.0000000,1.75384,0.231127,1.69273,0.241777,1.7538412,0.23112720,1.6927269,0.24177676
O8.5,8.5,20.500000,2.1422501,20.499999,2.2447499,8.4511111,0.76060003,8.3954677,0.75559212,0.0000000,0.0000000,0.0000000,1.67053,0.223732,1.64046,0.233115,1.6705285,0.22373164,1.6404647,0.23311535
O9.0,9.0,19.700001,2.0586503,19.700002,2.1571501,7.9755556,0.71780003,7.8902161,0.71011948,0.0000000,0.0000000,0.0000000,1.61996,0.221621,1.62548,0.230189,1.6199582,0.22162059,1.6254814,0.23018898
O9.5,9.5,18.500000,1.9332501,18.499998,2.0257498,7.4500000,0.67050003,7.3187531,0.65868780,0.0000000,0.0000000,0.0000000,1.60622,0.218584,1.61142,0.227399,1.6062243,0.21858366,1.6114163,0.22739942
B0.0,10.0,17.500000,1.8287500,17.500002,1.9162502,6.8655556,0.61790002,6.6508191,0.59857374,0.0000000,0.0000000,0.0000000,1.58151,0.208222,1.54719,0.218391,1.5815103,0.20822197,1.5471915,0.21839091
B0.5,10.5,15.000000,1.5675000,15.000001,1.6425001,6.2766667,0.56490002,5.9974309,0.53976880,0.0000000,0.0000000,0.0000000,1.50894,0.197606,1.48296,0.209311,1.5089381,0.19760636,1.4829611,0.20931122
B1.0,11.0,11.000000,1.1495000,11.000001,1.2045001,5.7377778,0.51640002,5.4431065,0.48987961,0.0000000,0.0000000,0.0000000,1.43615,0.181703,1.37063,0.194139,1.4361529,0.18170336,1.3706250,0.19413899
B1.5,11.5,10.000000,1.0450001,10.000000,1.0950000,5.2155556,0.46940002,4.9435559,0.44492005,0.0000000,0.0000000,0.0000000,1.31637,0.163573,1.24285,0.176938,1.3163671,0.16357306,1.2428513,0.17693787
B2.0,12.0,7.3000002,0.76285005,7.3000003,0.79935002,4.7266667,0.42540002,4.5078664,0.40570799,0.0000000,0.0000000,0.0000000,1.18346,0.147018,1.10886,0.158620,1.1834607,0.14701776,1.1088585,0.15862006
B2.5,12.5,6.0999999,0.63744998,6.1000003,0.66795002,4.2177778,0.37960002,4.0621113,0.36559003,0.0000000,0.0000000,0.0000000,1.06213,0.138916,1.03554,0.148159,1.0621281,0.13891609,1.0355427,0.14815883
B3.0,13.0,5.4000001,0.56430000,5.4000002,0.59130001,3.7933333,0.34140001,3.7070827,0.33363745,0.0000000,0.0000000,0.0000000,1.00054,0.130431,0.962023,0.137700,1.0005441,0.13043070,0.96202254,0.13769987
B4.0,14.0,5.0000000,0.52250004,5.0000002,0.54750001,3.4811111,0.31330001,3.4389101,0.30950192,0.0000000,0.0000000,0.0000000,0.939173,0.127055,0.931669,0.133443,0.93917280,0.12705542,0.93166929,0.13344298
B5.0,15.0,4.5999999,0.48070002,4.5999999,0.50369999,3.1911111,0.28720001,3.1593773,0.28434397,0.0000000,0.0000000,0.0000000,0.915166,0.125098,0.910982,0.129977,0.91516608,0.12509765,0.91098195,0.12997744
B6.0,16.0,4.0000000,0.41800001,4.0000000,0.43800000,3.0144444,0.27130001,2.9778011,0.26800211,0.0000000,0.0000000,0.0000000,0.900126,0.121908,0.889211,0.126661,0.90012562,0.12190825,0.88921100,0.12666142
B7.0,17.0,3.9000001,0.40755004,3.9000001,0.42705000,2.8633333,0.25770001,2.8165004,0.25348504,0.0000000,0.0000000,0.0000000,0.876601,0.115901,0.846495,0.120900,0.87660146,0.11590085,0.84649521,0.12090031
B8.0,18.0,3.4000001,0.35530001,3.4000003,0.37230002,2.6988889,0.24290001,2.6483911,0.23835521,0.0000000,0.0000000,0.0000000,0.833875,0.109309,0.796299,0.113830,0.83387512,0.10930945,0.79629928,0.11382977
B9.0,19.0,2.8000000,0.29260001,2.8000001,0.30660001,2.5388889,0.22850001,2.4917568,0.22425812,0.0000000,0.0000000,0.0000000,0.784231,0.102762,0.749940,0.107136,0.78423071,0.10276245,0.74993998,0.10713589
B9.5,19.5,2.5000000,0.26125002,2.5000001,0.27375000,2.3844444,0.21460001,2.3503952,0.21153558,0.0000000,0.0000000,0.0000000,0.739224,0.0967658,0.708825,0.101428,0.73922366,0.096765754,0.70882457,0.10142791
A0.0,20.0,2.3000000,0.24035001,2.3000000,0.25184999,2.2722222,0.20450001,2.2434501,0.20191052,0.0000000,0.0000000,0.0000000,0.697059,0.0919659,0.673712,0.0965623,0.69705904,0.091965885,0.67371166,0.096562319
A1.0,21.0,2.1500001,0.22467501,2.1550978,0.23598320,2.1555556,0.19400001,2.1381690,0.19243522,0.0000000,0.0000000,0.0000000,0.663580,0.0900298,0.658978,0.0942793,0.66358024,0.090029793,0.65897840,0.094279295
A2.0,22.0,2.0500000,0.21422499,2.0707583,0.22674803,2.0466667,0.18420001,2.0428052,0.18385248,0.0000000,0.0000000,0.0000000,0.650274,0.0889381,0.651859,0.0931327,0.65027374,0.088938129,0.65185916,0.093132689
A3.0,23.0,2.0000000,0.20900001,2.0358821,0.22292909,2.0000000,0.18000001,1.9971115,0.17974004,0.0000000,0.0000000,0.0000000,0.640841,0.0879403,0.648447,0.0924612,0.64084095,0.087940334,0.64844704,0.092461176
A4.0,24.0,1.9000000,0.19855000,1.9490514,0.21342112,1.9500000,0.17550001,1.9484438,0.17535994,0.0000000,0.0000000,0.0000000,0.634842,0.0870943,0.645204,0.0919498,0.63484168,0.087094262,0.64520401,0.091949838
A5.0,25.0,1.8500000,0.19332501,1.9124430,0.20941251,1.9222222,0.17300001,1.9210571,0.17289514,0.0000000,0.0000000,0.0000000,0.629923,0.0861221,0.643296,0.0916970,0.62992275,0.086122103,0.64329606,0.091697030
A6.0,26.0,1.8300000,0.19123501,1.9064040,0.20875123,1.8988889,0.17090001,1.8975240,0.17077716,0.0000000,0.0000000,0.0000000,0.622456,0.0851315,0.641716,0.0913554,0.62245649,0.085131540,0.64171576,0.091355353
A7.0,27.0,1.7600000,0.18392001,1.8476664,0.20231947,1.8622222,0.16760001,1.8592609,0.16733349,0.0000000,0.0000000,0.0000000,0.614358,0.0843432,0.639535,0.0912193,0.61435801,0.084343202,0.63953549,0.091219343
A8.0,28.0,1.6700000,0.17451499,1.7667472,0.19345882,1.8177778,0.16360001,1.8139802,0.16325822,0.0000000,0.0000000,0.20629741,0.607059,0.0835986,0.636528,0.0906835,0.60705918,0.22259235,0.63652778,0.22534890
A9.0,29.0,1.6700000,0.17451499,1.7804160,0.19495554,1.7800000,0.16020001,1.7755568,0.15980012,0.0000000,0.0000000,0.20629741,0.601326,0.0829064,0.635565,0.0906473,0.60132575,0.22233328,0.63556492,0.22533430
F0.0,30.0,1.5900000,0.16615501,1.7082413,0.18705242,1.7344444,0.15610001,1.7293300,0.15563970,0.0000000,0.0000000,0.20629741,0.594878,0.0824605,0.634602,0.0905195,0.59487754,0.22216739,0.63460207,0.22528295
F1.0,31.0,1.5000000,0.15675001,1.6240164,0.17782979,1.6822222,0.15140001,1.6765276,0.15088749,0.0000000,-2.220446E-16,0.20629741,0.591054,0.0820352,0.636470,0.0908574,0.59105420,0.22200990,0.63647008,0.22541891
F2.0,32.0,1.4400001,0.15048002,1.5711177,0.17203739,1.6266667,0.14640001,1.6192074,0.14572867,0.0000000,-0.068376296,0.20629741,0.589025,0.0817849,0.639771,0.0912953,0.52064843,0.22191754,0.57139457,0.22559579
F3.0,33.0,1.4299999,0.14943500,1.5722779,0.17216443,1.5700000,0.14130001,1.5607448,0.14046704,0.0000000,-0.13675259,0.20629741,0.589240,0.0816682,0.646388,0.0922103,0.45248730,0.22187456,0.50963582,0.22596763
F4.0,34.0,1.3900000,0.14525500,1.5401221,0.16864337,1.5044444,0.13540001,1.4951180,0.13456063,0.0000000,-0.20512889,0.20629741,0.589455,0.0815310,0.651590,0.0930402,0.38432618,0.22182408,0.44646122,0.22630753
F5.0,35.0,1.3300000,0.13898501,1.4850432,0.16261223,1.4422222,0.12980001,1.4349368,0.12914432,0.0000000,-0.27350518,0.20629741,0.590482,0.0813937,0.657383,0.0939043,0.31697729,0.22177367,0.38387826,0.22666416
F6.0,36.0,1.2500000,0.13062501,1.4065154,0.15401344,1.3911111,0.12520000,1.3857421,0.12471680,0.0000000,-0.34188148,0.20629741,0.591510,0.0813176,0.662548,0.0945604,0.24962834,0.22174576,0.32066677,0.22693676
F7.0,37.0,1.2100000,0.12644501,1.3720405,0.15023843,1.3366667,0.12030000,1.3346776,0.12012099,0.0000000,-0.41025777,0.20629741,0.592803,0.0815064,0.668265,0.0955560,0.18254475,0.22181507,0.25800691,0.22735341
F8.0,38.0,1.1799999,0.12331000,1.3483747,0.14764703,1.2833333,0.11550000,1.2891823,0.11602641,0.0000000,-0.40225876,0.20629741,0.595873,0.0820976,0.673611,0.0964864,0.19361412,0.22203298,0.27135217,0.22774603
F9.0,39.0,1.1400000,0.11913000,1.3127455,0.14374563,1.2255556,0.11030000,1.2398404,0.11158564,0.0000000,-0.39265977,0.20629741,0.599677,0.0827649,0.678687,0.0970940,0.20701732,0.22228057,0.28602727,0.22800408
F9.5,39.5,1.1100000,0.11599500,1.2831346,0.14050323,1.1755556,0.10580000,1.2012141,0.10810927,0.0000000,-0.38726001,0.20629741,0.604633,0.0835489,0.683172,0.0976634,0.21737273,0.22257366,0.29591150,0.22824714
G0.0,40.0,1.0800000,0.11286001,1.2532754,0.13723366,1.1340000,0.10206000,1.1724158,0.10551742,0.0000000,-0.38146081,0.20629741,0.610769,0.0846505,0.685740,0.0980667,0.22930865,0.22298951,0.30427955,0.22842001
G1.0,41.0,1.0700001,0.11181501,1.2512774,0.13701488,1.0986667,0.098880004,1.1520394,0.10368355,0.0000000,-0.36866187,0.20629741,0.616175,0.0854992,0.687077,0.0982464,0.24751336,0.22331309,0.31841511,0.22849722
G2.0,42.0,1.0200000,0.10659000,1.2020348,0.13162281,1.0641111,0.095770004,1.1337786,0.10204008,0.0000000,-0.35426297,0.20629741,0.621782,0.0862338,0.687153,0.0984223,0.26751880,0.22359538,0.33289013,0.22857291
G3.0,43.0,1.0000000,0.10450000,1.1875829,0.13004033,1.0328889,0.092960004,1.1208807,0.10087926,0.0000000,-0.33826409,0.20629741,0.628456,0.0872702,0.687763,0.0986166,0.29019202,0.22399711,0.34949876,0.22865663
G4.0,44.0,0.99000001,0.10345501,1.1848032,0.12973595,1.0027778,0.090250004,1.1091408,0.099822679,0.0000000,-0.32066524,0.20629741,0.637540,0.0885868,0.689053,0.0988147,0.31687474,0.22451336,0.36838740,0.22874213
G5.0,45.0,0.98000002,0.10241000,1.1819093,0.12941907,0.97566667,0.087810003,1.1005746,0.099051715,0.0000000,-0.30146643,0.20629741,0.646748,0.0895859,0.690342,0.0990128,0.34528158,0.22490942,0.38887594,0.22882777
G6.0,46.0,0.97000003,0.10136501,1.1788998,0.12908953,0.94200000,0.084780003,1.0836464,0.097528177,0.0000000,-0.28066763,0.20629741,0.655260,0.0905729,0.691556,0.0991736,0.37459245,0.22530439,0.41088846,0.22889743
G7.0,47.0,0.95999998,0.10032000,1.1757729,0.12874713,0.92177778,0.082960003,1.0797368,0.097176317,0.0000000,-0.25826887,0.20629741,0.661794,0.0912716,0.690151,0.0994459,0.40352484,0.22558620,0.43188252,0.22901550
G8.0,48.0,0.94000000,0.098230004,1.1601847,0.12704022,0.90000000,0.081000003,1.0726393,0.096537538,0.0000000,-0.23427014,0.20629741,0.665324,0.0917516,0.688213,0.110262,0.43105395,0.22578080,0.45394285,0.23391544
G9.0,49.0,0.89999998,0.094049998,1.1194091,0.12257530,0.88033333,0.079230003,1.0665494,0.095989454,0.0000000,-0.20867143,0.20629741,0.665428,0.0916530,0.684806,0.121300,0.45675631,0.22574075,0.47613408,0.23931636
K0.0,50.0,0.87000000,0.090915002,1.0904673,0.11940617,0.85600000,0.077040003,1.0529504,0.21059008,0.0000000,-0.18147276,0.20629741,0.665259,0.0915512,0.681365,0.132338,0.48378667,0.22569944,0.49989250,0.24509562
K0.5,50.5,0.86000001,0.089870006,1.0820950,0.11848940,0.83411111,0.075070003,1.0403443,0.20806886,0.0000000,-0.16727315,0.20629741,0.665091,0.0914459,0.677059,0.143233,0.49781794,0.22565676,0.50978596,0.25114582
K1.0,51.0,0.85000002,0.088825002,1.0736418,0.11756378,0.80966667,0.072870003,1.0235533,0.20471067,0.0000000,-0.15267411,0.20629741,0.664923,0.0911433,0.671081,0.152974,0.51224861,0.22553430,0.51840702,0.25682591
K1.5,51.5,0.81999999,0.085689999,1.0397474,0.11385234,0.78866667,0.070980003,1.0093710,0.20187419,0.0000000,-0.13767452,0.20629741,0.662482,0.0906036,0.662433,0.152018,0.52480744,0.22531673,0.52475809,0.25625814
K2.0,52.0,0.77999997,0.081510000,0.99284654,0.10871669,0.77200000,0.069480003,0.99931947,0.19986390,0.0000000,-0.12227549,0.20629741,0.658910,0.0902438,0.654434,0.150260,0.53663479,0.22517229,0.53215842,0.25521900
K2.5,52.5,0.75999999,0.079420000,0.97112394,0.10633807,0.76311111,0.068680003,0.99764622,0.19952925,0.0000000,-0.10647591,0.20629741,0.654305,0.0898872,0.645239,0.148502,0.54782937,0.22502961,0.53876261,0.25418779
